"hisco","status","relation","age","sex"
16000,NA,NA,46,"female"
16000,NA,NA,47,"female"
NA,NA,NA,20,"male"
NA,NA,NA,19,"male"
99999,NA,NA,17,"female"
99999,NA,NA,29,"female"
99999,NA,NA,18,"male"
99920,NA,NA,39,"male"
99999,NA,NA,16,"male"
95410,NA,NA,29,"male"
99999,NA,NA,18,"male"
NA,NA,NA,16,"female"
99999,NA,NA,67,"female"
6120,NA,NA,27,"female"
6120,NA,NA,39,"female"
-2,NA,NA,26,"female"
-2,NA,NA,30,"female"
99999,NA,NA,25,"female"
99999,NA,NA,45,"female"
99999,NA,NA,66,"female"
41030,NA,NA,61,"female"
-2,NA,NA,56,"female"
14140,NA,NA,37,"female"
14140,NA,NA,40,"female"
NA,NA,NA,21,"male"
NA,NA,NA,16,"male"
NA,NA,NA,17,"male"
NA,NA,NA,19,"male"
NA,NA,NA,20,"male"
NA,NA,NA,22,"male"
-1,NA,NA,23,"male"
NA,NA,NA,28,"male"
NA,NA,NA,29,"male"
NA,NA,NA,37,"male"
NA,NA,NA,38,"male"
NA,NA,NA,39,"male"
98500,NA,NA,41,"male"
98500,NA,NA,44,"male"
39310,NA,NA,27,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
-2,NA,NA,34,"female"
-2,NA,NA,36,"female"
-2,NA,NA,37,"female"
99999,NA,NA,23,"female"
37030,NA,NA,27,"male"
37030,NA,NA,30,"male"
37030,NA,NA,31,"male"
33135,NA,NA,20,"male"
99999,NA,NA,30,"female"
99999,NA,NA,33,"female"
99999,NA,NA,35,"female"
99999,NA,NA,36,"female"
99999,NA,NA,39,"female"
99999,NA,NA,41,"female"
99999,NA,NA,43,"female"
99999,NA,NA,46,"female"
99999,NA,NA,50,"female"
99999,NA,NA,52,"female"
99999,NA,NA,61,"female"
99999,NA,NA,67,"female"
99999,NA,NA,32,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,41,"female"
99999,NA,NA,44,"female"
NA,NA,NA,39,"male"
54020,NA,NA,21,"female"
99999,NA,NA,28,"female"
99999,NA,NA,30,"female"
99999,NA,NA,31,"female"
99999,NA,NA,16,"male"
99999,NA,NA,18,"male"
99999,NA,NA,21,"male"
99930,NA,NA,23,"male"
99930,NA,NA,24,"male"
99930,NA,NA,27,"male"
99930,NA,NA,29,"male"
99930,NA,NA,30,"male"
99900,NA,NA,40,"male"
99900,NA,NA,45,"male"
99900,NA,NA,46,"male"
99900,NA,NA,48,"male"
99999,NA,NA,19,"male"
99999,NA,NA,21,"male"
99999,NA,NA,22,"male"
99999,NA,NA,24,"male"
-2,NA,NA,15,"female"
54020,NA,NA,18,"female"
54020,NA,NA,21,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,26,"female"
99999,NA,NA,29,"female"
99999,NA,NA,30,"female"
99999,NA,NA,35,"female"
99999,NA,NA,38,"female"
99999,NA,NA,40,"female"
99999,NA,NA,41,"female"
99999,NA,NA,43,"female"
99999,NA,NA,46,"female"
99999,NA,NA,47,"female"
93120,NA,NA,26,"male"
93120,NA,NA,30,"male"
93120,NA,NA,34,"male"
93120,NA,NA,39,"male"
93120,NA,NA,40,"male"
93120,NA,NA,42,"male"
93120,NA,NA,52,"male"
93120,NA,NA,54,"male"
93120,NA,NA,55,"male"
93120,NA,NA,57,"male"
93120,NA,NA,60,"male"
98135,NA,NA,18,"male"
98135,NA,NA,22,"male"
98135,NA,NA,24,"male"
NA,NA,NA,33,"male"
NA,NA,NA,34,"male"
NA,NA,NA,20,"male"
6140,NA,NA,31,"male"
99999,NA,NA,44,"female"
99999,NA,NA,45,"female"
99999,NA,NA,48,"female"
99999,NA,NA,50,"female"
NA,NA,NA,24,"male"
45130,NA,NA,28,"male"
45130,NA,NA,33,"male"
45130,NA,NA,36,"male"
45130,NA,NA,37,"male"
45130,NA,NA,42,"male"
45130,NA,NA,43,"male"
54020,NA,NA,26,"female"
99999,NA,NA,34,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
99999,NA,NA,15,"female"
99999,NA,NA,16,"female"
99999,NA,NA,18,"female"
62510,NA,NA,46,"male"
43220,NA,NA,48,"male"
43220,NA,NA,56,"male"
99999,NA,NA,36,"female"
99999,NA,NA,44,"female"
99999,NA,NA,45,"female"
99999,NA,NA,47,"female"
99999,NA,NA,48,"female"
16130,NA,NA,26,"male"
16130,NA,NA,29,"male"
84100,NA,NA,25,"male"
84100,NA,NA,27,"male"
84100,NA,NA,28,"male"
84100,NA,NA,30,"male"
-1,NA,NA,23,"female"
-1,NA,NA,26,"female"
-1,NA,NA,28,"female"
-1,NA,NA,29,"female"
-1,NA,NA,32,"female"
-1,NA,NA,37,"female"
-1,NA,NA,41,"female"
-1,NA,NA,47,"female"
-1,NA,NA,50,"female"
-2,NA,NA,19,"male"
-2,NA,NA,22,"male"
-2,NA,NA,25,"male"
77610,NA,NA,30,"male"
77610,NA,NA,31,"male"
77610,NA,NA,36,"male"
77610,NA,NA,42,"male"
77610,NA,NA,45,"male"
77610,NA,NA,46,"male"
77610,NA,NA,48,"male"
99999,NA,NA,15,"female"
99999,NA,NA,24,"female"
99999,NA,NA,29,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
99999,NA,NA,40,"female"
99999,NA,NA,43,"female"
99999,NA,NA,44,"female"
99999,NA,NA,46,"female"
2120,NA,NA,16,"male"
